age,sex,race,used_e-cigarette,start_age_e-cigarette,"used_chewing-tobacco,snuff,dip",used_heated-tobacco-product,motivation_friend,motivation_family-member,motivation_quit-other,motivation_cost,motivation_ease-of-access,motivation_media-influence,motivation_less-harmful,motivation_flavors-availability,motivation_obscurity,motivation_tricks,motivation_curiosity,motivation_other,start_age_cigarette,"start_age_cigar,cigarillo,little-cigar","start_age_chewing-tobacco,snuff,dip","start_age_hookah,waterpipe",quit_for_good,ease_store,ease_online,harm_occasional_cigarettes,"harm_occasional_cigar,cigarillo,little-cigar","harm_addictiveness_cigar,cigarillo,little-cigar","harm_occasional_chewing-tobacco,snuff,dip,snus,dissolvable-tobacco-product","harm_addictiveness_chewing-tobacco,snuff,dip,snus,dissolvable-tobacco-product",harm_occasional_e-cigarettes,harm_addictiveness_e-cigarette,"harm_occasional_hookah,waterpipe","harm_addictiveness_hookah,waterpipe",harm_low_nicotine,popularity_cigarette,popularity_e-cigarette,ads_non-e-cigarette_internet,ads_e-cigarette_internet,ads_e-cigarette_social-media,household_exposure_cigarette,"household_exposure_cigar,cigarillo,little-cigar","household_exposure_chewing-tobacco,snuff,dipcigarette",household_exposure_e-cigarette,"household_exposure_hookah,waterpipe",household_exposure_pipe-filled-with-tobacco-not-hookah,household_exposure_dissolvable-tobacco-product:,household_exposure_bidi,household_exposure_heated-tobacco-product,household_exposure_None
7,1,,1,8.0,2,2,1,1,,,,,,,,,,,.S,.S,.S,.S,006,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N
6,2,1.0,2,,2,2,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,002,001,004,004,005,004,005,004,005,004,005,003,008,006,003,002,004,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N
7,2,,2,,2,2,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,.S,002,002,003,003,002,003,002,004,003,004,003,004,008,006,004,005,003,,,,,,,,,,1
7,2,1.0,1,7.0,1,2,,,,,,,,,,,1,,008,.S,008,.S,006,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N
7,1,,1,4.0,1,1,,,,,,,,,,,,1,001,007,007,.S,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N,.N
